iter	Passed	Remaining
0	54	80963
1	537	402907
2	971	484686
3	1476	552391
4	1848	552674
5	2306	574414
6	2727	581758
7	3220	600615
8	3583	593748
9	4025	599806
10	4473	605509
11	4873	604324
12	4892	559597
13	5434	576848
14	5844	578642
15	6183	573489
16	6537	570286
17	6970	573882
18	7111	554305
19	7659	566790
20	8114	571502
21	8456	568101
22	8811	565823
23	8836	543417
24	9309	549278
25	9757	553146
26	10159	554244
27	10619	558282
28	11012	558608
29	11452	561189
30	11834	560815
31	12279	563304
32	12307	547117
33	12382	533910
34	12800	535792
35	13275	539854
36	13290	525527
37	13728	528202
38	14182	531301
39	14555	531290
40	14678	522346
41	14696	510191
42	15133	512781
43	15523	513695
44	15940	515407
45	15987	505343
46	16339	505144
47	16808	508472
48	17164	508278
49	17213	499185
50	17582	499555
51	18025	501946
52	18476	504447
53	18983	508333
54	19011	499475
55	19428	500985
56	19779	500727
57	20213	502552
58	20230	494109
59	20657	495771
60	20674	487718
61	21046	488153
62	21126	481889
63	21502	482464
64	21851	482422
65	22270	483868
66	22850	488729
67	23389	492563
68	23564	488699
69	23908	488409
70	24363	490352
71	24843	492737
72	24932	487387
73	25344	488401
74	25424	483073
75	25868	484690
76	25875	478185
77	26287	479235
78	26729	480800
79	27123	481438
80	27558	482775
81	27934	483066
82	28375	484435
83	28411	478936
84	28790	479272
85	29176	479720
86	29405	477593
87	29868	479261
88	30247	479543
89	30590	479247
90	30965	479459
91	31385	480327
92	31763	480551
93	32183	481376
94	32723	483967
95	33075	483730
96	33490	484399
97	33912	485151
98	33923	480069
99	34072	477018
100	34658	480068
101	35128	481464
102	35169	477005
103	35194	472421
104	35205	467729
105	35217	463143
106	35301	459580
107	35509	457673
108	35598	454284
109	35928	454010
110	36364	455048
111	36371	450747
112	36382	446569
113	36824	447709
114	36992	445518
115	37136	443079
116	37564	444030
117	37950	444476
118	37958	440507
119	38325	440745
120	38396	437597
121	38784	438073
122	39152	438318
123	39162	434581
124	39571	435288
125	40024	436460
126	40042	432895
127	40459	433672
128	40902	434709
129	41328	435543
130	41726	436058
131	41733	432506
132	42164	433375
133	42526	433517
134	42535	430076
135	42952	430791
136	43358	431368
137	43793	432223
138	43798	428847
139	43845	425929
140	43894	423067
141	43909	419926
142	44425	421575
143	44431	418394
144	44836	418988
145	45186	419057
146	45591	419624
147	45910	419397
148	45915	416324
149	45941	413477
150	45947	410484
151	46346	411021
152	46772	411779
153	47145	412067
154	47511	412273
155	47523	409432
156	47532	406603
157	47583	404155
158	47599	401454
159	48030	402254
160	48036	399510
161	48481	400422
162	48859	400769
163	48887	398251
164	49357	399350
165	49367	396724
166	49793	397456
167	50153	397645
168	50496	397697
169	50504	395119
170	50591	393193
171	50611	390768
172	50649	388509
173	51056	389087
174	51074	386706
175	51212	385260
176	51539	385238
177	51545	382830
178	51926	383209
179	51940	380896
180	52280	380982
181	52636	381182
