filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
1.jpg,82732,"{}",8,0,"{""name"":""rect"",""x"":146,""y"":32,""width"":19,""height"":23}","{}"
1.jpg,82732,"{}",8,1,"{""name"":""rect"",""x"":173,""y"":33,""width"":21,""height"":19}","{}"
1.jpg,82732,"{}",8,2,"{""name"":""rect"",""x"":143,""y"":224,""width"":24,""height"":20}","{}"
1.jpg,82732,"{}",8,3,"{""name"":""rect"",""x"":172,""y"":225,""width"":24,""height"":19}","{}"
1.jpg,82732,"{}",8,4,"{""name"":""rect"",""x"":143,""y"":409,""width"":23,""height"":19}","{}"
1.jpg,82732,"{}",8,5,"{""name"":""rect"",""x"":171,""y"":412,""width"":24,""height"":19}","{}"
1.jpg,82732,"{}",8,6,"{""name"":""rect"",""x"":145,""y"":585,""width"":19,""height"":15}","{}"
1.jpg,82732,"{}",8,7,"{""name"":""rect"",""x"":171,""y"":585,""width"":19,""height"":16}","{}"
2.jpg,88842,"{}",8,0,"{""name"":""rect"",""x"":141,""y"":37,""width"":21,""height"":16}","{}"
2.jpg,88842,"{}",8,1,"{""name"":""rect"",""x"":169,""y"":37,""width"":21,""height"":16}","{}"
2.jpg,88842,"{}",8,2,"{""name"":""rect"",""x"":143,""y"":219,""width"":21,""height"":17}","{}"
2.jpg,88842,"{}",8,3,"{""name"":""rect"",""x"":168,""y"":220,""width"":20,""height"":16}","{}"
2.jpg,88842,"{}",8,4,"{""name"":""rect"",""x"":142,""y"":411,""width"":22,""height"":19}","{}"
2.jpg,88842,"{}",8,5,"{""name"":""rect"",""x"":169,""y"":412,""width"":17,""height"":16}","{}"
2.jpg,88842,"{}",8,6,"{""name"":""rect"",""x"":139,""y"":593,""width"":22,""height"":17}","{}"
2.jpg,88842,"{}",8,7,"{""name"":""rect"",""x"":169,""y"":594,""width"":17,""height"":14}","{}"
3.jpg,85740,"{}",8,0,"{""name"":""rect"",""x"":139,""y"":21,""width"":21,""height"":19}","{}"
3.jpg,85740,"{}",8,1,"{""name"":""rect"",""x"":168,""y"":21,""width"":22,""height"":17}","{}"
3.jpg,85740,"{}",8,2,"{""name"":""rect"",""x"":143,""y"":212,""width"":17,""height"":19}","{}"
3.jpg,85740,"{}",8,3,"{""name"":""rect"",""x"":168,""y"":214,""width"":20,""height"":16}","{}"
3.jpg,85740,"{}",8,4,"{""name"":""rect"",""x"":143,""y"":405,""width"":18,""height"":17}","{}"
3.jpg,85740,"{}",8,5,"{""name"":""rect"",""x"":169,""y"":406,""width"":18,""height"":15}","{}"
3.jpg,85740,"{}",8,6,"{""name"":""rect"",""x"":142,""y"":609,""width"":18,""height"":14}","{}"
3.jpg,85740,"{}",8,7,"{""name"":""rect"",""x"":169,""y"":609,""width"":17,""height"":15}","{}"
4.jpg,82455,"{}",8,0,"{""name"":""rect"",""x"":144,""y"":141,""width"":19,""height"":18}","{}"
4.jpg,82455,"{}",8,1,"{""name"":""rect"",""x"":170,""y"":141,""width"":17,""height"":16}","{}"
4.jpg,82455,"{}",8,2,"{""name"":""rect"",""x"":145,""y"":322,""width"":18,""height"":16}","{}"
4.jpg,82455,"{}",8,3,"{""name"":""rect"",""x"":169,""y"":321,""width"":19,""height"":16}","{}"
4.jpg,82455,"{}",8,4,"{""name"":""rect"",""x"":146,""y"":527,""width"":21,""height"":17}","{}"
4.jpg,82455,"{}",8,5,"{""name"":""rect"",""x"":173,""y"":527,""width"":17,""height"":14}","{}"
4.jpg,82455,"{}",8,6,"{""name"":""rect"",""x"":147,""y"":714,""width"":19,""height"":17}","{}"
4.jpg,82455,"{}",8,7,"{""name"":""rect"",""x"":173,""y"":713,""width"":19,""height"":15}","{}"
5.jpg,67187,"{}",8,0,"{""name"":""rect"",""x"":137,""y"":21,""width"":20,""height"":17}","{}"
5.jpg,67187,"{}",8,1,"{""name"":""rect"",""x"":162,""y"":20,""width"":21,""height"":15}","{}"
5.jpg,67187,"{}",8,2,"{""name"":""rect"",""x"":135,""y"":225,""width"":22,""height"":17}","{}"
5.jpg,67187,"{}",8,3,"{""name"":""rect"",""x"":162,""y"":225,""width"":21,""height"":16}","{}"
5.jpg,67187,"{}",8,4,"{""name"":""rect"",""x"":137,""y"":403,""width"":22,""height"":15}","{}"
5.jpg,67187,"{}",8,5,"{""name"":""rect"",""x"":165,""y"":405,""width"":19,""height"":13}","{}"
5.jpg,67187,"{}",8,6,"{""name"":""rect"",""x"":137,""y"":584,""width"":19,""height"":15}","{}"
5.jpg,67187,"{}",8,7,"{""name"":""rect"",""x"":161,""y"":584,""width"":20,""height"":15}","{}"
6.jpg,32886,"{}",11,0,"{""name"":""rect"",""x"":151,""y"":145,""width"":21,""height"":15}","{}"
6.jpg,32886,"{}",11,1,"{""name"":""rect"",""x"":176,""y"":145,""width"":19,""height"":14}","{}"
6.jpg,32886,"{}",11,2,"{""name"":""rect"",""x"":149,""y"":327,""width"":21,""height"":18}","{}"
6.jpg,32886,"{}",11,3,"{""name"":""rect"",""x"":178,""y"":329,""width"":19,""height"":15}","{}"
6.jpg,32886,"{}",11,4,"{""name"":""rect"",""x"":217,""y"":55,""width"":18,""height"":12}","{}"
6.jpg,32886,"{}",11,5,"{""name"":""rect"",""x"":214,""y"":238,""width"":23,""height"":17}","{}"
6.jpg,32886,"{}",11,6,"{""name"":""rect"",""x"":213,""y"":426,""width"":19,""height"":15}","{}"
6.jpg,32886,"{}",11,7,"{""name"":""rect"",""x"":146,""y"":512,""width"":20,""height"":17}","{}"
6.jpg,32886,"{}",11,8,"{""name"":""rect"",""x"":173,""y"":517,""width"":19,""height"":13}","{}"
6.jpg,32886,"{}",11,9,"{""name"":""rect"",""x"":146,""y"":668,""width"":19,""height"":18}","{}"
6.jpg,32886,"{}",11,10,"{""name"":""rect"",""x"":173,""y"":669,""width"":19,""height"":15}","{}"
7.jpg,35436,"{}",11,0,"{""name"":""rect"",""x"":155,""y"":177,""width"":18,""height"":17}","{}"
7.jpg,35436,"{}",11,1,"{""name"":""rect"",""x"":179,""y"":178,""width"":20,""height"":15}","{}"
7.jpg,35436,"{}",11,2,"{""name"":""rect"",""x"":220,""y"":90,""width"":20,""height"":13}","{}"
