               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1277,            0.058848,            0.038727,           0.0010637,            0.015152,          0.00016597,          2.5595e-05,             0.11869,            0.059579,            0.034631,             0.00016,             0.00016,             0.09856
                   1,             0.12696,            0.056129,            0.038275,            0.011578,           0.0075758,          0.00077841,          0.00011763,             0.11543,            0.062941,            0.034709,          0.00032971,          0.00032971,             0.09703
                   2,             0.12535,            0.053567,            0.036558,            0.002535,           0.0075758,          0.00070401,          0.00016015,             0.11373,            0.064841,            0.032871,          0.00049823,          0.00049823,            0.095498
                   3,              0.1206,            0.061427,             0.03414,           0.0029766,           0.0075758,           0.0010362,          0.00021911,             0.11113,            0.066001,            0.031613,          0.00066466,          0.00066466,            0.093965
                   4,             0.11561,            0.059532,            0.032861,           0.0035052,            0.046651,           0.0015284,          0.00029358,             0.10838,            0.066275,            0.029743,          0.00082812,          0.00082812,            0.092428
                   5,             0.11217,            0.060183,            0.030416,            0.017249,            0.041069,           0.0058041,            0.001107,             0.10341,            0.069527,            0.027939,          0.00098776,          0.00098776,            0.090888
                   6,             0.11088,            0.061165,            0.027734,            0.025692,            0.070973,            0.012136,           0.0019642,            0.098636,            0.068396,             0.02557,           0.0011427,           0.0011427,            0.089343
                   7,             0.10795,            0.058656,            0.024617,            0.024836,             0.10048,            0.016524,           0.0029965,            0.094529,            0.064097,            0.022165,           0.0012922,           0.0012922,            0.087792
                   8,             0.10174,            0.056474,            0.021449,            0.034845,            0.092504,             0.02258,           0.0039443,            0.094911,            0.058937,            0.019801,           0.0014354,           0.0014354,            0.086235
                   9,            0.096042,            0.052408,            0.016419,            0.039618,             0.12041,            0.035356,           0.0061251,            0.085743,             0.05754,            0.017027,           0.0015716,           0.0015716,            0.084672
                  10,            0.094531,              0.0513,            0.016042,             0.72063,             0.16268,             0.05229,            0.010389,            0.083042,            0.056118,             0.01502,           0.0017001,           0.0017001,              0.0831
                  11,            0.089124,            0.048155,            0.015414,             0.76825,             0.16569,             0.13507,            0.028434,            0.080466,            0.056236,            0.013315,           0.0018204,           0.0018204,             0.08152
                  12,            0.092818,            0.048357,            0.011326,             0.54506,             0.45335,             0.24768,            0.063748,            0.085332,            0.054114,            0.011856,           0.0019317,           0.0019317,            0.079932
                  13,            0.088054,            0.050127,            0.010674,              0.5538,             0.49192,             0.32041,            0.081834,              0.0748,            0.055697,            0.011379,           0.0020336,           0.0020336,            0.078334
                  14,            0.086997,            0.049902,            0.012965,             0.50656,              0.4996,             0.28383,            0.069966,            0.077202,            0.051645,             0.01075,           0.0021256,           0.0021256,            0.076726
                  15,            0.079231,            0.045784,             0.01065,             0.56714,             0.48811,             0.30026,            0.075471,            0.075374,            0.050636,            0.010415,           0.0022073,           0.0022073,            0.075107
                  16,            0.085641,            0.046833,            0.010133,             0.48804,             0.50518,             0.23323,            0.053607,            0.089141,            0.046727,            0.010069,           0.0022784,           0.0022784,            0.073478
                  17,            0.084335,            0.044558,           0.0098453,             0.57684,             0.48299,             0.35649,            0.089834,            0.078799,            0.047514,           0.0090951,           0.0023387,           0.0023387,            0.071839
                  18,            0.084135,            0.044413,            0.011147,             0.55664,             0.54745,             0.30286,             0.06918,            0.073781,            0.047759,           0.0085173,            0.002388,            0.002388,            0.070188
                  19,            0.080542,            0.043293,           0.0090089,             0.58149,             0.33612,             0.25271,            0.064393,            0.079915,            0.044992,           0.0083048,           0.0024261,           0.0024261,            0.068526
                  20,            0.085491,            0.043816,           0.0083686,             0.64513,             0.51236,             0.37071,            0.094437,            0.076165,            0.047164,           0.0081421,            0.002453,            0.002453,            0.066853
                  21,            0.080601,            0.041112,           0.0084568,             0.64931,             0.51754,             0.43252,              0.1311,             0.07174,            0.046877,           0.0073769,           0.0024689,           0.0024689,            0.065169
                  22,            0.075624,            0.040444,           0.0091063,             0.64122,              0.4386,             0.39376,            0.098738,            0.078321,            0.043095,           0.0069428,           0.0024739,           0.0024739,            0.063474
                  23,            0.082779,            0.040703,           0.0076898,             0.78065,             0.42225,             0.45277,             0.12049,            0.069137,             0.04784,           0.0064086,            0.002468,            0.002468,            0.061768
                  24,            0.075738,            0.044791,           0.0081758,             0.76725,             0.53589,             0.50238,             0.15083,            0.064771,            0.049533,           0.0061226,           0.0024518,           0.0024518,            0.060052
                  25,            0.072747,            0.045118,            0.007318,             0.67699,             0.42486,             0.39973,             0.13557,            0.069278,            0.045604,           0.0057971,           0.0024255,           0.0024255,            0.058326
                  26,            0.075082,            0.044994,           0.0062139,             0.56493,             0.42211,             0.25518,            0.064316,            0.072437,            0.045735,            0.005693,           0.0023896,           0.0023896,             0.05659
                  27,            0.077658,            0.042404,           0.0059808,             0.64948,             0.54107,             0.42667,             0.13386,             0.07656,            0.043273,           0.0057803,           0.0023446,           0.0023446,            0.054845
                  28,            0.083925,            0.040465,           0.0074085,             0.68832,             0.41567,             0.35925,             0.10198,            0.069383,            0.046896,           0.0058584,           0.0022911,           0.0022911,            0.053091
                  29,            0.074303,             0.04376,            0.007076,             0.59043,             0.51096,             0.32814,            0.092242,             0.07947,             0.04287,           0.0054718,           0.0022299,           0.0022299,             0.05133
                  30,            0.080977,            0.039849,           0.0070997,             0.75017,             0.47967,             0.41526,             0.13333,            0.068063,            0.043575,           0.0053629,           0.0021616,           0.0021616,            0.049562
                  31,            0.077945,            0.041564,            0.006172,             0.78808,             0.56801,             0.44322,             0.16049,            0.071706,            0.043436,           0.0053814,            0.002087,            0.002087,            0.047787
                  32,            0.082333,            0.042437,           0.0062444,             0.73819,             0.57166,             0.45631,             0.14854,            0.072942,            0.043211,           0.0051149,            0.002007,            0.002007,            0.046007
                  33,            0.077365,            0.039056,           0.0066022,             0.78027,             0.50261,             0.48421,             0.13061,            0.061838,            0.046142,           0.0049973,           0.0019226,           0.0019226,            0.044223
                  34,            0.069916,             0.04337,           0.0068779,             0.69715,             0.51794,             0.46566,             0.15093,            0.066351,             0.04463,           0.0048085,           0.0018347,           0.0018347,            0.042435
                  35,            0.074245,            0.041759,            0.006653,             0.61444,             0.41707,             0.28312,            0.072866,            0.061888,            0.044856,           0.0048343,           0.0017444,           0.0017444,            0.040644
                  36,            0.071393,            0.039614,           0.0053087,              0.5927,             0.53349,             0.34168,            0.097851,             0.06419,            0.045192,           0.0049933,           0.0016526,           0.0016526,            0.038853
                  37,            0.066771,            0.044107,           0.0068084,             0.75768,             0.47051,             0.44881,             0.11911,            0.057691,            0.045828,           0.0047683,           0.0015606,           0.0015606,            0.037061
                  38,            0.067378,            0.040264,           0.0078433,             0.78885,             0.53656,              0.5167,             0.19931,            0.056615,            0.045318,           0.0046679,           0.0014694,           0.0014694,            0.035269
                  39,            0.065628,            0.044803,           0.0048502,             0.76212,             0.40966,             0.43844,             0.11608,            0.057277,            0.046327,           0.0047037,           0.0013802,           0.0013802,             0.03348
                  40,            0.060832,            0.044243,           0.0058329,             0.74463,             0.57018,             0.51345,             0.16381,             0.05391,            0.045452,           0.0046149,           0.0012942,           0.0012942,            0.031694
                  41,            0.062325,            0.041573,           0.0052838,             0.71129,             0.51276,             0.46015,             0.15887,            0.056406,            0.045052,           0.0044453,           0.0012125,           0.0012125,            0.029912
                  42,            0.060589,            0.042064,           0.0061409,             0.75114,             0.57366,             0.50558,             0.17901,            0.052927,            0.045386,           0.0043328,           0.0011363,           0.0011363,            0.028136
                  43,            0.057801,            0.041084,           0.0058504,             0.69497,             0.57337,              0.4835,             0.16528,            0.052864,            0.044766,           0.0041465,           0.0010669,           0.0010669,            0.026367
                  44,            0.061309,            0.042375,           0.0050336,             0.73334,              0.5692,             0.52244,             0.19062,            0.052967,            0.045013,           0.0040633,           0.0010054,           0.0010054,            0.024605
                  45,             0.05591,            0.041954,           0.0060612,             0.86637,             0.59754,             0.60156,             0.26388,            0.047467,            0.044872,           0.0039892,          0.00095301,          0.00095301,            0.022853
                  46,            0.057327,            0.042683,           0.0045696,              0.6765,               0.563,             0.45382,             0.14014,            0.050613,            0.044686,           0.0038572,          0.00091082,          0.00091082,            0.021111
                  47,            0.060791,            0.038386,           0.0060875,             0.75621,             0.59056,             0.53546,              0.1877,            0.054165,            0.044032,           0.0038408,          0.00087996,          0.00087996,             0.01938
                  48,            0.056685,            0.042692,           0.0059552,             0.80075,             0.62759,             0.56517,             0.25181,            0.046148,            0.044549,           0.0038426,          0.00086152,          0.00086152,            0.017662
                  49,            0.051343,            0.041934,           0.0043192,             0.82126,             0.62759,             0.58571,             0.25573,            0.045399,            0.044291,           0.0038044,          0.00085654,          0.00085654,            0.015957
