"Дата","Цена","Откр.","Макс.","Мин.","Изм. %"
"Апр. '21","0,7228","0,7254","0,7275","0,7219","-0,37%"
"Март '21","0,7254","0,7174","0,7315","0,7134","1,09%"
"Февр. '21","0,7176","0,7292","0,7371","0,7024","-1,67%"
"Янв. '21","0,7298","0,7314","0,7434","0,7266","-0,18%"
"Дек. '20","0,7311","0,7505","0,7613","0,7307","-2,58%"
"Нояб. '20","0,7505","0,7724","0,7780","0,7463","-2,85%"
"Окт. '20","0,7725","0,7741","0,7801","0,7588","-0,17%"
"Сент. '20","0,7738","0,7481","0,7890","0,7416","3,49%"
"Авг. '20","0,7477","0,7637","0,7704","0,7465","-2,15%"
"Июль '20","0,7641","0,8064","0,8092","0,7592","-5,23%"
"Июнь '20","0,8063","0,8105","0,8163","0,7804","-0,43%"
"Май '20","0,8098","0,7937","0,8281","0,7935","2,00%"
"Апр. '20","0,7939","0,8045","0,8221","0,7907","-1,39%"
"Март '20","0,8051","0,7813","0,8765","0,7575","3,23%"
"Февр. '20","0,7799","0,7566","0,7858","0,7566","2,97%"
"Янв. '20","0,7574","0,7541","0,7721","0,7533","0,52%"
"Дек. '19","0,7535","0,7742","0,7755","0,7398","-2,54%"
"Нояб. '19","0,7731","0,7728","0,7832","0,7700","0,06%"
"Окт. '19","0,7726","0,8137","0,8200","0,7684","-5,02%"
"Сент. '19","0,8134","0,8231","0,8363","0,7947","-1,09%"
"Авг. '19","0,8224","0,8227","0,8323","0,8123","0,01%"
"Июль '19","0,8223","0,7877","0,8252","0,7869","4,41%"
"Июнь '19","0,7876","0,7919","0,7997","0,7822","-0,47%"
"Май '19","0,7913","0,7673","0,7963","0,7584","3,15%"
"Апр. '19","0,7671","0,7670","0,7773","0,7577","-0,01%"
"Март '19","0,7672","0,7540","0,7724","0,7471","1,76%"
"Февр. '19","0,7539","0,7628","0,7829","0,7491","-1,15%"
"Янв. '19","0,7627","0,7836","0,8040","0,7566","-2,67%"
"Дек. '18","0,7836","0,7832","0,8015","0,7788","-0,01%"
"Нояб. '18","0,7837","0,7833","0,7859","0,7589","0,05%"
"Окт. '18","0,7833","0,7674","0,7877","0,7541","2,09%"
"Сент. '18","0,7673","0,7710","0,7822","0,7519","-0,51%"
"Авг. '18","0,7712","0,7617","0,7898","0,7607","1,25%"
"Июль '18","0,7617","0,7587","0,7718","0,7483","0,62%"
"Июнь '18","0,7570","0,7519","0,7663","0,7422","0,71%"
"Май '18","0,7517","0,7267","0,7574","0,7260","3,54%"
"Апр. '18","0,7260","0,7127","0,7293","0,6955","1,78%"
"Март '18","0,7133","0,7267","0,7293","0,7020","-1,83%"
"Февр. '18","0,7266","0,7046","0,7269","0,7003","3,14%"
"Янв. '18","0,7045","0,7400","0,7431","0,6971","-4,77%"
"Дек. '17","0,7398","0,7394","0,7518","0,7380","0,08%"
"Нояб. '17","0,7392","0,7529","0,7669","0,7380","-1,81%"
"Окт. '17","0,7528","0,7469","0,7677","0,7461","0,86%"
"Сент. '17","0,7464","0,7734","0,7750","0,7322","-3,48%"
"Авг. '17","0,7733","0,7567","0,7829","0,7538","2,19%"
"Июль '17","0,7567","0,7683","0,7807","0,7562","-1,41%"
"Июнь '17","0,7675","0,7758","0,7944","0,7674","-1,06%"
"Май '17","0,7757","0,7721","0,7832","0,7663","0,49%"
"Апр. '17","0,7719","0,7974","0,8088","0,7711","-3,08%"
"Март '17","0,7964","0,8077","0,8259","0,7926","-1,40%"
"Февр. '17","0,8077","0,7948","0,8099","0,7869","1,62%"
"Янв. '17","0,7948","0,8101","0,8346","0,7890","-1,91%"
"Дек. '16","0,8103","0,7997","0,8198","0,7827","1,35%"
"Нояб. '16","0,7995","0,8167","0,8193","0,7890","-2,09%"
"Окт. '16","0,8166","0,7725","0,8461","0,7722","5,98%"
"Сент. '16","0,7705","0,7610","0,7744","0,7437","1,24%"
"Авг. '16","0,7611","0,7555","0,7773","0,7478","0,67%"
"Июль '16","0,7560","0,7513","0,7814","0,7417","0,65%"
"Июнь '16","0,7511","0,6908","0,7622","0,6658","8,74%"
"Май '16","0,6907","0,6844","0,6977","0,6770","0,95%"
"Апр. '16","0,6842","0,6963","0,7140","0,6816","-1,71%"
"Март '16","0,6961","0,7185","0,7193","0,6889","-3,12%"
"Февр. '16","0,7185","0,7023","0,7228","0,6816","2,38%"
"Янв. '16","0,7018","0,6786","0,7102","0,6750","3,45%"
"Дек. '15","0,6784","0,6642","0,6792","0,6561","2,15%"
"Нояб. '15","0,6641","0,6473","0,6670","0,6453","2,47%"
"Окт. '15","0,6481","0,6610","0,6619","0,6447","-1,94%"
"Сент. '15","0,6609","0,6518","0,6619","0,6386","1,41%"
"Авг. '15","0,6517","0,6398","0,6521","0,6321","1,83%"
"Июль '15","0,6400","0,6365","0,6524","0,6355","0,57%"
"Июнь '15","0,6364","0,6539","0,6592","0,6277","-2,68%"
"Май '15","0,6539","0,6514","0,6627","0,6323","0,40%"
"Апр. '15","0,6513","0,6749","0,6866","0,6453","-3,48%"
"Март '15","0,6748","0,6476","0,6833","0,6473","4,17%"
"Февр. '15","0,6478","0,6629","0,6672","0,6429","-2,37%"
"Янв. '15","0,6635","0,6420","0,6689","0,6416","3,35%"
"Дек. '14","0,6420","0,6390","0,6457","0,6334","0,49%"
"Нояб. '14","0,6389","0,6259","0,6414","0,6241","2,22%"
"Окт. '14","0,6250","0,6168","0,6299","0,6152","1,35%"
"Сент. '14","0,6167","0,6026","0,6230","0,6008","2,37%"
"Авг. '14","0,6024","0,5921","0,6051","0,5919","1,74%"
"Июль '14","0,5921","0,5846","0,5932","0,5817","1,30%"
"Июнь '14","0,5845","0,5964","0,5989","0,5842","-2,08%"
"Май '14","0,5969","0,5927","0,5990","0,5883","0,73%"
"Апр. '14","0,5926","0,6002","0,6041","0,5917","-1,25%"
"Март '14","0,6001","0,5972","0,6076","0,5957","0,50%"
"Февр. '14","0,5971","0,6080","0,6154","0,5944","-1,84%"
"Янв. '14","0,6083","0,6040","0,6132","0,6000","0,73%"
"Дек. '13","0,6039","0,6111","0,6165","0,6032","-1,15%"
"Нояб. '13","0,6109","0,6233","0,6308","0,6103","-1,97%"
"Окт. '13","0,6232","0,6179","0,6291","0,6150","0,89%"
"Сент. '13","0,6177","0,6446","0,6449","0,6172","-4,19%"
"Авг. '13","0,6447","0,6575","0,6622","0,6362","-1,95%"
"Июль '13","0,6575","0,6579","0,6751","0,6479","0,03%"
"Июнь '13","0,6573","0,6580","0,6594","0,6349","-0,09%"
"Май '13","0,6579","0,6438","0,6663","0,6408","2,21%"
"Апр. '13","0,6437","0,6579","0,6651","0,6424","-2,10%"
"Март '13","0,6575","0,6593","0,6743","0,6553","-0,26%"
"Февр. '13","0,6592","0,6308","0,6635","0,6297","4,55%"
"Янв. '13","0,6305","0,6159","0,6380","0,6105","2,39%"
"Дек. '12","0,6158","0,6245","0,6249","0,6133","-1,33%"
"Нояб. '12","0,6241","0,6199","0,6319","0,6181","0,68%"
