,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63,x_64,x_65,x_66,x_67,x_68,x_69,x_70,x_71,x_72,x_73,x_74,x_75,x_76,x_77,x_78,x_79,x_80,x_81,x_82,x_83,x_84,x_85,x_86,x_87,x_88,x_89,x_90,x_91,x_92,x_93,x_94,x_95,x_96,x_97,x_98,x_99,x_100,x_101,x_102,x_103,x_104,x_105,x_106,x_107,x_108,x_109,x_110,x_111,x_112,x_113,x_114,x_115,x_116,x_117,x_118,x_119,x_120,x_121,x_122,x_123,x_124,x_125,x_126,x_127,x_128
0,0.842713,0.171253,0.228401,0.0,0.0,0.0,0.0424316,0.107107,0.0,0.124601,0.0551279,0.0,0.0,0.0,0.0,0.133531,0.0,0.107383,0.163777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0280227,0.0797912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.292611,0.815199,0.0,0.0,0.0,0.0,0.0397969,0.0811159,0.0,0.0,0.0,0.0,0.0591672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0523719,0.0,0.373894,0.0,0.0,0.0897344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0317656,0.0204085,0.0,0.0,0.0451669,0.0,0.0641429,0.0235423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0900673,0.0386045,0.0,0.0459039,0.0,0.0,0.0,0.0,0.0,0.0323943,0.0,0.0,0.0426765,0.0,0.0823932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.213799,0.0453138,0.0,0.0,0.0,0.0,0.0,0.0669434,0.066691,0.0997606,0.071096,0.0,0.0,0.0,0.120577,0.0598897,0.0566643,0.0285359,0.15879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0386209,0.0,0.0,0.0,0.0,0.0189764,0.0,0.0,0.0,0.043828,0.0,0.0,0.0333643,0.0,0.0,0.0,0.0,0.532495,0.889748,0.0,0.0,0.0,0.0,0.0255802,0.0,0.0,0.0,0.0,0.0,0.0,0.0533239,0.0,0.0,0.0190486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0392209,0.0,0.0,0.0297107,0.0323943,0.0,0.469005,0.0,0.0,0.0277484,0.0,0.0,0.0,0.0882961,0.0,0.0,0.0,0.0,0.0424098,0.0,0.0686977,0.0327902,0.0349098,0.0718225,0.315409,0.0333643,0.0,0.0,0.0,0.0,0.0,0.0,0.0953103,0.177353,0.0,0.0,0.0185183,0.0,0.0,0.0380747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0229751,0.0395735,0.0,0.0,0.110862,0.0,0.0281709,0.0,0.0,0.0,0.0
2,0.791006,0.160917,0.105361,0.0189764,0.0,0.0294116,0.0,0.0368545,0.0,0.0,0.0661285,0.0556345,0.0,0.0,0.0,0.083757,0.0,0.063568,0.253489,0.0,0.0562815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0628995,0.0,0.0,0.0365104,0.0,0.0849496,0.102167,0.0,0.0,0.0481185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.268038,1.21858,0.0,0.0,0.0,0.0,0.0277484,0.0,0.0,0.0,0.0,0.0,0.0,0.0189764,0.0,0.0,0.0,0.0462155,0.0,0.0,0.02976,0.0,0.0,0.0,0.111111,0.0,0.0,0.0,0.0285359,0.0,0.073631,0.0,0.0,0.0402107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0310397,0.111726,0.0,0.0380239,0.0221747,0.0,0.0210538,0.0280227,0.044743,0.0,0.0,0.0,0.0329218,0.0,0.0,0.0,0.21525,0.0,0.0,0.035212,0.0,0.0,0.0221747,0.0,0.0,0.0,0.0,0.109854,0.0,0.0,0.0,0.0221747,0.0,0.0,0.019536,0.0280227,0.0,0.0,0.0,0.0,0.0
3,0.111111,0.144942,0.0,0.0,0.0620309,0.0,0.0,0.0458148,0.0,0.0704892,0.0439293,0.0870115,0.0,0.0,0.0721752,0.0,0.0495183,0.0,0.0475697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0704742,0.0,0.0,0.0219787,0.0,0.0,0.0189764,0.0,0.0,0.0,0.0,0.0,0.0257818,0.0,0.0,0.0,0.0,0.131537,0.353849,0.0,0.0,0.0,0.0,0.0,0.0,0.0231856,0.0,0.0313483,0.0,0.0484147,0.0,0.0246926,0.0,0.0,0.0812592,0.0,0.0,0.0,0.0,0.0,0.0,0.207143,0.0,0.0,0.0,0.0300546,0.0953103,0.0831443,0.0,0.0189764,0.131823,0.0,0.0,0.0199278,0.0,0.0,0.0,0.0,0.207146,0.0291867,0.0,0.0,0.0300546,0.0,0.0630091,0.0950489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0689936,0.0,0.0191599,0.0,0.0,0.0,0.105361,0.0,0.0,0.0,0.0,0.0,0.0459039,0.0,0.0,0.0,0.0870918,0.0,0.0600187,0.061228,0.0199278,0.0610657,0.0,0.0,0.0,0.0
4,0.166667,0.0247705,0.111111,0.0,0.0,0.0,0.0,0.0345399,0.0,0.0,0.0573172,0.0662059,0.0,0.0,0.0,0.0,0.0424096,0.0,0.0348254,0.0870115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0280227,0.0311736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.217852,0.497616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0203353,0.0350882,0.0269755,0.0,0.0,0.100195,0.0,0.0800429,0.0720966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0689936,0.0,0.0,0.0,0.0,0.0,0.0380239,0.0,0.0346419,0.0,0.0429454,0.0547448,0.024829,0.0491794,0.0,0.0,0.0,0.0215062,0.0,0.0,0.0,0.114707,0.0,0.0,0.0,0.0,0.0,0.038694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0565044,0.0175443,0.0255802,0.0412354,0.0,0.0,0.0
5,0.179107,0.0189764,0.0953103,0.0,0.0,0.0,0.0,0.0720664,0.105361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0603141,0.0241398,0.0752928,0.0,0.0302849,0.0,0.0,0.0,0.053248,0.0,0.0,0.0,0.0,0.0175443,0.0,0.0,0.0,0.0,0.0431509,0.0280097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042239,0.208342,0.303813,0.0,0.0,0.0,0.0,0.0746888,0.0635062,0.0,0.0,0.0,0.0,0.0675473,0.0504147,0.0,0.0,0.0,0.0337339,0.0,0.105361,0.0957477,0.0,0.039288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0221747,0.0,0.0999555,0.0,0.0189764,0.0295027,0.0360375,0.0490624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0417922,0.0337339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050723,0.0462155,0.0,0.0290244,0.0290244,0.0,0.0,0.061228,0.0,0.0,0.0,0.0,0.0,0.0
6,0.403936,0.0575768,0.0,0.0537112,0.0,0.0235303,0.0,0.0775213,0.0,0.0,0.0348254,0.0870115,0.0,0.0,0.0,0.0,0.0,0.0,0.0793331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0746888,0.0,0.0,0.0,0.128255,0.0,0.0,0.0227273,0.0,0.0,0.0380747,0.0,0.0,0.0,0.0562815,0.0451669,0.353564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0304851,0.038694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047087,0.0,0.0,0.0,0.129122,0.0,0.0,0.0,0.0,0.0,0.109117,0.0,0.0193451,0.0402107,0.38626,0.0700185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0180183,0.0300546,0.0352093,0.0,0.153037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0337339,0.0311736,0.0,0.035212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0189764,0.0,0.0,0.0424163,0.0221747,0.0291024,0.0,0.0,0.0,0.0,0.0
7,0.333333,0.0406733,0.19375,0.0372334,0.0333012,0.0,0.0,0.0737023,0.0,0.0,0.0805,0.0,0.0175443,0.0,0.0,0.0402107,0.123263,0.120847,0.0365203,0.0,0.0,0.0,0.0,0.0,0.0744826,0.0,0.0,0.0,0.0,0.0472844,0.0,0.0,0.0,0.0,0.0,0.177121,0.0,0.0,0.0405331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125862,0.396635,0.0,0.0,0.0,0.0,0.0,0.0,0.0800429,0.0,0.0,0.0,0.0,0.0189764,0.0281709,0.0,0.0,0.0419406,0.0,0.0,0.0230994,0.0,0.0645387,0.0,0.111111,0.0,0.0,0.0,0.0896897,0.0,0.166145,0.0,0.0212039,0.0,0.0,0.0,0.0,0.032033,0.0,0.0,0.0,0.0870115,0.0380239,0.0,0.176399,0.0584282,0.0,0.0241398,0.133391,0.163451,0.0,0.0,0.0,0.0,0.0,0.0,0.0420317,0.26139,0.0,0.0,0.038694,0.0,0.0,0.0,0.0,0.0,0.0203353,0.0363746,0.0953103,0.0350913,0.0,0.0300546,0.0,0.0,0.0,0.106964,0.0956382,0.0,0.0,0.0,0.0,0.0
8,0.677975,0.151276,0.0,0.0,0.0523457,0.0584387,0.0,0.0547455,0.0,0.04652,0.0380239,0.0,0.0,0.0,0.0,0.0337339,0.0460574,0.0570566,0.138891,0.0,0.0481894,0.0,0.0,0.0,0.0,0.0300546,0.0,0.0,0.0,0.0280227,0.0,0.0205451,0.0571579,0.0,0.186235,0.0382076,0.0,0.0,0.0600171,0.0479532,0.0,0.0641354,0.0,0.0,0.0,0.0,0.502619,1.19595,0.0,0.0,0.0,0.0,0.035212,0.0,0.0741083,0.0,0.0,0.0,0.103184,0.0641429,0.0,0.028988,0.0196556,0.0870115,0.0,0.0,0.0,0.0175443,0.0,0.0,0.0588238,0.0,0.0504782,0.0,0.0,0.0,0.10134,0.0,0.0,0.0556345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0311736,0.0525436,0.0,0.0546549,0.0873433,0.0546549,0.144854,0.238027,0.0,0.0212768,0.0,0.0,0.0,0.0,0.0,0.0,0.0189764,0.0,0.0,0.0512931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0542919,0.0,0.0,0.0676357,0.0,0.0,0.0300546,0.0458523,0.0494744,0.0,0.0,0.0,0.0
9,0.764706,0.148164,0.182321,0.0280227,0.0,0.0478025,0.0,0.0280227,0.414524,0.105361,0.0424098,0.0,0.0304023,0.0,0.0207606,0.0,0.170197,0.0498721,0.292647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048067,0.0,0.0,0.127133,0.0608926,0.0,0.0,0.0833142,0.0,0.0,0.0311736,0.0,0.0,0.0,0.0,0.20432,1.76178,0.0,0.0,0.0,0.0,0.0,0.0,0.050723,0.0,0.0,0.0,0.0325601,0.0,0.0,0.0,0.0300546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0588238,0.0,0.0,0.0,0.0300546,0.0,0.0875143,0.0,0.0,0.0189764,0.0,0.0,0.0,0.0290244,0.0,0.0319006,0.0,0.0,0.0800576,0.0,0.0379524,0.0,0.0282314,0.0247705,0.17073,0.088249,0.0,0.0,0.0,0.0350814,0.0,0.0,0.0,0.0451491,0.0311736,0.0,0.0606242,0.0,0.0,0.0337694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0424098,0.0,0.0,0.0451669,0.0,0.0249359,0.0,0.0,0.0,0.0
